id,district_region_name,offences,robbery,street_robbery_purse_snatching,bodily_harm,dangerous_and_grievous_bodily_harm,deprivation_of_liberty_coercion_threat_stalking,theft,motor_vehicle_theft,theft_from_motor_vehicle,bicycle_theft,residential_burglary,fire_offences,arson,damage_to_property,damage_to_property_by_graffiti,narcotics_offences,kieztaten
059900,"Bezirk (Sp), nicht zuzuordnen",854,14,12,58,23,34,424,16,167,26,0,9,5,72,6,13,219
060000,Steglitz-Zehlendorf,23757,167,106,1935,349,1032,10858,499,1571,1701,662,158,60,2672,587,458,5471
061001,Schloßstraße,3255,31,24,209,48,148,1707,35,99,235,25,13,4,192,38,53,527
061002,Albrechtstraße,2825,28,17,232,37,124,1327,87,224,230,66,16,5,292,40,52,818
062003,Lankwitz,2988,19,9,349,57,182,1197,55,250,113,72,24,5,312,14,92,899
062004,Ostpreußendamm,2417,9,5,261,39,100,1075,47,149,163,74,26,7,289,59,26,640
063005,Teltower Damm,2574,17,10,183,40,100,1260,63,141,225,105,14,4,235,46,41,547
063006,Drakestraße,3114,15,8,296,44,151,1338,90,178,195,76,20,8,316,29,43,752
064007,Zehlendorf Südwest,2520,17,13,166,33,85,932,29,183,148,81,27,19,463,186,35,439
064008,Zehlendorf Nord,3408,25,14,219,46,115,1639,76,260,299,163,15,6,494,168,90,689
069900,"Bezirk (St-Zd), nicht zuzuordnen",656,6,6,20,5,27,383,17,87,93,0,3,2,79,7,26,160
070000,Tempelhof-Schöneberg,39290,332,227,3567,753,1752,18227,517,2767,2505,458,194,54,3698,743,1080,9996
071001,Schöneberg Nordwest,5962,69,49,573,160,199,3135,15,336,411,48,30,4,408,61,256,1560
071002,Schöneberg Nordost,3116,31,19,221,53,109,1682,18,192,337,44,7,0,262,48,100,819
072003,Schöneberg Südwest,2094,11,9,193,39,69,1076,35,152,209,23,8,6,194,29,56,584
072004,Schöneberg Südost,5465,35,25,452,101,153,2234,22,179,409,39,19,4,519,198,150,1130
